DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
88.2025E-6	-88.2917E-6	1.6285E-9	20.0000E+0	5.7695E-6	-23.1115E-6		209.2062E-6	-209.2929E-6	1.5864E-9	20.0000E+0	13.1950E-6	35.8391E-6	
94.2841E-6	-94.3720E-6	1.6925E-9	21.0000E+0	6.0815E-6	-11.2479E-6		223.2448E-6	-223.3316E-6	1.7106E-9	21.0000E+0	14.0385E-6	59.3837E-6	
100.4254E-6	-100.5135E-6	1.7690E-9	22.0000E+0	6.1412E-6	615.6333E-9		237.4941E-6	-237.5801E-6	1.7691E-9	22.0000E+0	14.2492E-6	82.9283E-6	
106.7400E-6	-106.8282E-6	1.8280E-9	23.0000E+0	6.3146E-6	12.4792E-6		252.5064E-6	-252.5931E-6	1.8806E-9	23.0000E+0	15.0122E-6	106.4729E-6	
113.2005E-6	-113.2892E-6	1.8799E-9	24.0000E+0	6.4604E-6	24.3428E-6		267.6816E-6	-267.7671E-6	1.9139E-9	24.0000E+0	15.1752E-6	130.0174E-6	
119.9744E-6	-120.0618E-6	1.9487E-9	25.0000E+0	6.7738E-6	36.2064E-6		283.2330E-6	-283.3189E-6	2.0071E-9	25.0000E+0	15.5514E-6	153.5620E-6	
126.9932E-6	-127.0795E-6	2.0652E-9	26.0000E+0	7.0188E-6	48.0700E-6		299.0212E-6	-299.1069E-6	2.0689E-9	26.0000E+0	15.7881E-6	177.1066E-6	
133.8655E-6	-133.9531E-6	2.1582E-9	27.0000E+0	6.8723E-6	59.9336E-6		315.4608E-6	-315.5449E-6	2.1295E-9	27.0000E+0	16.4396E-6	200.6511E-6	
141.2432E-6	-141.3302E-6	2.2618E-9	28.0000E+0	7.3777E-6	71.7972E-6		331.9699E-6	-332.0547E-6	2.1853E-9	28.0000E+0	16.5091E-6	224.1957E-6	
148.6475E-6	-148.7341E-6	2.3481E-9	29.0000E+0	7.4042E-6	83.6609E-6		349.0867E-6	-349.1725E-6	2.2486E-9	29.0000E+0	17.1167E-6	247.7402E-6	
