DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
183.8240E-6	-183.9137E-6	4.0801E-9	52.0000E+0	4.2198E-6	181.9843E-6		367.9438E-6	-368.0348E-6	4.1076E-9	52.0000E+0	8.4373E-6	364.3219E-6	
188.1635E-6	-188.2515E-6	4.1349E-9	53.0000E+0	4.3395E-6	186.8046E-6		376.5005E-6	-376.5902E-6	4.3517E-9	53.0000E+0	8.5566E-6	373.8935E-6	
192.4774E-6	-192.5662E-6	4.3013E-9	54.0000E+0	4.3138E-6	191.6250E-6		384.9698E-6	-385.0585E-6	4.3618E-9	54.0000E+0	8.4693E-6	383.4650E-6	
196.9242E-6	-197.0118E-6	4.4312E-9	55.0000E+0	4.4468E-6	196.4453E-6		393.5771E-6	-393.6669E-6	4.4503E-9	55.0000E+0	8.6072E-6	393.0366E-6	
196.5465E-6	-196.6358E-6	4.3447E-9	55.0000E+0	#REF	196.4453E-6		393.0509E-6	-393.1388E-6	4.3208E-9	55.0000E+0	#REF	393.0366E-6	
191.6250E-6	-191.7142E-6	4.2481E-9	54.0000E+0	4.9215E-6	191.6250E-6		383.4650E-6	-383.5541E-6	4.0661E-9	54.0000E+0	9.5858E-6	383.4650E-6	
186.9058E-6	-186.9956E-6	4.1075E-9	53.0000E+0	4.7191E-6	186.8046E-6		373.9078E-6	-373.9986E-6	3.8703E-9	53.0000E+0	9.5572E-6	373.8935E-6	
182.2054E-6	-182.2952E-6	3.8268E-9	52.0000E+0	4.7004E-6	181.9843E-6		364.7939E-6	-364.8841E-6	3.8450E-9	52.0000E+0	9.1138E-6	364.3219E-6	
177.6185E-6	-177.7086E-6	3.6982E-9	51.0000E+0	4.5868E-6	177.1639E-6		355.6978E-6	-355.7886E-6	3.8556E-9	51.0000E+0	9.0961E-6	354.7504E-6	
173.0098E-6	-173.0992E-6	3.5225E-9	50.0000E+0	4.6087E-6	172.3436E-6		346.3300E-6	-346.4218E-6	3.7922E-9	50.0000E+0	9.3677E-6	345.1788E-6	
