Time(1),DrainI(1),DrainV(1),Time(1),SourceI(1),SourceV(1),GateI(1),GateV(1),,,,,,,,,Time(3),DrainI(3),DrainV(3),Time(3),SourceI(3),SourceV(3),GateI(3),GateV(3),,,,,,,,,Time(5),DrainI(5),DrainV(5),Time(5),SourceI(5),SourceV(5),GateI(5),GateV(5),Time(2),DrainI(2),DrainV(2),Time(2),SourceI(2),SourceV(2),GateI(2),GateV(2)
1.5527,0.0001577602,1.2,1.5528,-0.0001577746,-2.09749E-05,-1.13569E-08,0,,,,,,,,,13.3217,0.0003763494,1.2,13.3219,-0.0003763675,-2.09749E-05,1.51864E-08,10,,,,,,,,,25.9508,0.0005905937,1.2,25.9512,-0.0005908431,-3.60263E-05,1.61823E-08,20,4.9105,0.0007490915,1.2,4.9106,-0.0007495271,1.9162E-05,2.124942E-07,30
1.5732,0.0001642788,1.25,1.5733,-0.0001643026,-1.09407E-05,-5.237E-09,0,,,,,,,,,13.3422,0.0003909577,1.25,13.3424,-0.0003909773,1.41448E-05,-3.640039E-10,10,,,,,,,,,25.9713,0.0006114687,1.25,25.9717,-0.0006118513,-5.9236E-06,9.472242E-10,20,4.9237,0.0007727647,1.25,4.9238,-0.0007731078,1.41448E-05,2.442454E-07,30
1.6012,0.0001711076,1.3,1.6012,-0.0001711308,1.9162E-05,-1.45973E-08,0,,,,,,,,,13.3702,0.0004053214,1.3,13.3705,-0.0004053552,1.41448E-05,1.55418E-08,10,,,,,,,,,25.9993,0.0006316378,1.3,25.9997,-0.0006317499,1.41448E-05,1.67178E-08,20,4.937,0.0007955556,1.3,4.937,-0.0007959066,-1.59578E-05,2.376341E-07,30
1.6216,0.0001774471,1.35,1.6217,-0.0001774444,9.1277E-06,3.8014E-09,0,,,,,,,,,13.3908,0.0004200607,1.35,13.391,-0.0004200785,2.41791E-05,-6.8851E-09,10,,,,,,,,,26.0198,0.0006522355,1.35,26.0202,-0.0006523042,-1.09407E-05,9.0426E-09,20,4.9502,0.0008176406,1.35,4.9503,-0.0008179236,-9.064679E-07,2.706067E-07,30
1.6496,0.0001842406,1.4,1.6496,-0.0001842549,-1.09407E-05,-1.31953E-08,0,,,,,,,,,13.4188,0.0004341168,1.4,13.419,-0.0004341309,9.1277E-06,1.05615E-08,10,,,,,,,,,26.0403,0.0006711692,1.4,26.0407,-0.0006714461,-5.9236E-06,-1.0909E-08,20,4.9634,0.0008385155,1.4,4.9635,-0.0008388057,4.92647E-05,2.421103E-07,30
1.67,0.0001905525,1.45,1.6701,-0.0001905837,1.41448E-05,-9.31E-09,0,,,,,,,,,13.4393,0.0004483568,1.45,13.4395,-0.0004483851,-5.9236E-06,1.30099E-08,10,,,,,,,,,26.0608,0.0006904307,1.45,26.0612,-0.0006905376,-5.9236E-06,1.24284E-08,20,4.9767,0.0008597937,1.45,4.9768,-0.0008601671,4.1106E-06,2.005007E-07,30
1.6905,0.0001969273,1.5,1.6905,-0.0001969553,-9.064679E-07,1.03317E-08,0,,,,,,,,,13.4598,0.0004621682,1.5,13.46,-0.0004622029,9.1277E-06,5.1522E-09,10,,,,,,,,,26.0888,0.0007093644,1.5,26.0893,-0.0007094526,-9.064679E-07,6.5997E-09,20,4.9899,0.000880139,1.5,4.99,-0.0008805448,2.41791E-05,2.417769E-07,30
1.711,0.0002037057,1.55,1.711,-0.0002037356,-1.09407E-05,1.15525E-08,0,,,,,,,,,13.4878,0.0004757955,1.55,13.488,-0.0004758013,-2.59921E-05,1.5855E-08,10,,,,,,,,,26.1168,0.0007273149,1.55,26.1172,-0.0007275857,-9.064679E-07,1.69368E-08,20,5.0032,0.000899829,1.55,5.0033,-0.0009000651,-1.59578E-05,2.389344E-07,30
1.7314,0.0002103126,1.6,1.7315,-0.0002103317,-1.59578E-05,4.7069E-09,0,,,,,,,,,13.5083,0.0004894405,1.6,13.5085,-0.0004894728,2.41791E-05,-3.1874E-09,10,,,,,,,,,26.1373,0.0007455679,1.6,26.1377,-0.0007457694,2.91962E-05,-1.8579E-09,20,5.0164,0.0009183088,1.6,5.0165,-0.0009186017,9.1277E-06,2.546739E-07,30
1.7594,0.0002166849,1.65,1.7594,-0.0002167134,-1.09407E-05,1.46832E-08,0,,,,,,,,,13.6655,0.0005024548,1.65,13.6657,-0.0005025481,2.41791E-05,9.8292E-09,10,,,,,,,,,26.1653,0.0007625351,1.65,26.1657,-0.0007626667,2.91962E-05,1.54459E-08,20,5.0296,0.0009366625,1.65,5.0297,-0.0009370123,1.41448E-05,2.427414E-07,30
